TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
168	0.856453267	0.869355229	0.883670207	0.913522338	0.928775216	0.958461504	0.969657764	0.971471096
169	0.855623595	0.866023747	0.88030044	0.909653923	0.924730206	0.953800896	0.965316122	0.969385622
170	0.850991533	0.862891716	0.877052179	0.905998794	0.920748416	0.949250344	0.960893617	0.967091486
171	0.84842359	0.860004483	0.873864152	0.902355517	0.916846219	0.944803297	0.956469625	0.964589542
172	0.848210986	0.856896683	0.870666106	0.89878937	0.912946079	0.940448917	0.952085551	0.96189358
173	0.844546055	0.854108329	0.867486255	0.895205318	0.909159143	0.936181983	0.94775654	0.959007151
174	0.843635067	0.851155637	0.864464976	0.891829004	0.905443869	0.93198827	0.943485161	0.955953032
175	0.83947093	0.848057859	0.861301874	0.888380426	0.901817216	0.927873105	0.939275659	0.952740376
176	0.832052487	0.844835433	0.858245349	0.884899047	0.898194893	0.923843963	0.935142578	0.949398495
177	0.834486893	0.842078615	0.855210604	0.881621758	0.894652796	0.919862536	0.931066365	0.94595048
178	0.827466431	0.839264921	0.852224807	0.878213272	0.891072561	0.915954931	0.927037685	0.942417245
179	0.824226046	0.836418923	0.849316498	0.874909133	0.887618019	0.912110329	0.923075821	0.938828296
180	0.825133716	0.833566449	0.846387447	0.871761	0.884257547	0.908307208	0.919179238	0.935195938
181	0.823555052	0.830734599	0.843459808	0.868373527	0.88082949	0.904589817	0.915322909	0.931545715
182	0.819525934	0.827951754	0.840556907	0.86522233	0.877496477	0.90091435	0.911524409	0.927883647
183	0.813086193	0.82524759	0.837703249	0.862126111	0.874194702	0.897280502	0.907776115	0.924217489
184	0.811655171	0.822653085	0.834924515	0.85912286	0.870973836	0.893711551	0.904065893	0.920577233
185	0.80815289	0.820200524	0.832103821	0.855995545	0.867751088	0.890175172	0.900437581	0.916937524
186	0.810258677	0.817245985	0.829259536	0.852947303	0.864566628	0.886664093	0.896837729	0.913337268
187	0.802917878	0.814476377	0.82656125	0.84993241	0.861316812	0.883258344	0.893274078	0.909746543
188	0.801568784	0.811927618	0.823885637	0.846953283	0.858182813	0.879832032	0.889741365	0.906188181
189	0.798666336	0.809636954	0.821097237	0.844010564	0.855212633	0.876501449	0.886291293	0.902650336
