T,P,NIST,New,PR,New_rate,PR_rate
515,5000000,18.67882817,18.67955568,18.79926619,0.00389481,0.644783583
520,5000000,18.48934274,18.49002447,18.60654552,0.003687165,0.633893693
525,5000000,18.30389129,18.30452825,18.41799514,0.003479916,0.623385734
530,5000000,18.12233925,18.12293196,18.23347343,0.003270636,0.613244125
535,5000000,17.94455823,17.94510734,18.05284539,0.003060052,0.603454045
540,5000000,17.77042569,17.77093263,17.87598227,0.002852693,0.594001386
545,5000000,17.59982459,17.60029185,17.70276116,0.002654953,0.584872709
550,5000000,17.43264304,17.43307386,17.53306469,0.002471327,0.576055214
555,5000000,17.26877408,17.26917135,17.36678071,0.002300515,0.567536695
560,5000000,17.10811532,17.10848046,17.20380195,0.00213431,0.559305516
565,5000000,16.95056874,16.95090111,17.0440258,0.001960766,0.551350572
570,5000000,16.79604046,16.79633797,16.88735403,0.001771313,0.543661268
575,5000000,16.64444047,16.6447015,16.73369253,0.001568256,0.536227483
580,5000000,16.49568246,16.49590814,16.58295114,0.001368109,0.529039551
585,5000000,16.34968362,16.34987928,16.4350434,0.001196718,0.522088237
590,5000000,16.20636446,16.20653887,16.28988634,0.00107616,0.515364709
595,5000000,16.06564862,16.06581044,16.14740037,0.001007244,0.508860523
600,5000000,15.92746275,15.92761482,16.00750902,0.000954775,0.502567602
100,10000000,446.0171269,447.4520593,502.5227522,0.32172137,12.66893621
105,10000000,439.6268183,439.582222,495.4287296,-0.010144125,12.69301801
110,10000000,433.1349794,432.6067686,488.0423966,-0.121950624,12.67674507
115,10000000,426.5286791,426.1328233,480.346354,-0.092808736,12.61759817
120,10000000,419.7937996,419.7490181,472.3212351,-0.010667505,12.51267539
125,10000000,412.9146084,413.1491718,463.9454121,0.056806758,12.35868207
130,10000000,405.8733088,406.1872023,455.1946415,0.077337795,12.15190347
135,10000000,398.6495249,398.8626245,446.0416349,0.053455368,11.88816416
140,10000000,391.2196771,391.2578501,436.4555382,0.009757434,11.56277757
145,10000000,383.556199,383.4591293,426.4012993,-0.025307815,11.1704883
