T,P,NIST,PR,New,PR_rate,New_rate
730,3634000,228.0301747,199.7567828,228.485257,12.39896956,0.199571061
735,3634000,216.4186039,191.5050919,216.7376603,11.51172385,0.147425566
740,3634000,206.0288365,183.9913916,206.1539116,10.69629147,0.060707583
745,3634000,196.780907,177.1580812,196.7060255,9.971915514,0.038053264
750,3634000,188.5520867,170.9400103,188.3113605,9.340695551,0.127670906
755,3634000,181.2100661,165.2715644,180.8570592,8.795594011,0.194805392
760,3634000,174.6303371,160.0907513,174.2232443,8.325922058,0.233116873
765,3634000,168.703164,155.3411726,168.2974496,7.920415405,0.240490112
770,3634000,163.3349808,150.9726751,162.977358,7.568682229,0.218950471
775,3634000,158.4472726,146.9412602,158.1682319,7.26172953,0.176109533
780,3634000,153.9745719,143.2086223,153.7827775,6.992030889,0.124562409
785,3634000,149.8623336,139.7415364,149.7388369,6.753396251,0.082406822
790,3634000,146.0650039,136.5112186,145.958422,6.540776393,0.072968809
795,3634000,142.5443768,133.4927183,142.3646285,6.350063532,0.126099898
800,3634000,139.2682422,130.6643715,138.8846096,6.177912908,0.275463083
400,5451000,676.5098816,624.4261592,676.4041077,7.698885678,0.015635233
405,5451000,672.8443671,621.9410125,672.906859,7.565398052,0.009287717
410,5451000,669.1636308,619.4089589,669.2778517,7.435352087,0.017069195
415,5451000,665.4665928,616.8289335,665.555376,7.308805565,0.013341501
420,5451000,661.7521615,614.1998377,661.7759384,7.185820704,0.003593018
425,5451000,658.0192318,611.5205379,657.970049,7.066464265,0.007474369
430,5451000,654.2666832,608.7898644,654.1590176,6.95080767,0.016455922
435,5451000,650.4933779,606.0066098,650.3545441,6.838927128,0.02134284
440,5451000,646.6981585,603.1695277,646.5580146,6.730903781,0.02167068
445,5451000,642.8798463,600.2773313,642.7624971,6.626823852,0.018253682
450,5451000,639.0372389,597.3286918,638.9565801,6.526778812,0.012621935
455,5451000,635.1691084,594.322237,635.1258686,6.430865557,0.006807604
460,5451000,631.2741988,591.2565493,631.2581709,6.339186601,0.002538966
465,5451000,627.3512241,588.1301648,627.3441875,6.251850278,0.001121637
470,5451000,623.3988659,584.9415709,623.3795117,6.168970966,0.003104625
475,5451000,619.4157712,581.6892049,619.3645318,6.090669318,0.008272209
480,5451000,615.4005494,578.3714521,615.3036393,6.017072515,0.015747493
485,5451000,611.3517706,574.9866444,611.2048979,5.948314535,0.024024267
490,5451000,607.2679626,571.5330581,607.0752834,5.884536436,0.031728848
495,5451000,603.1476082,568.0089122,602.9210191,5.825886659,0.037567769
500,5451000,598.989143,564.4123668,598.7452793,5.772521355,0.040712544
505,5451000,594.7909525,560.7415215,594.5477927,5.724604724,0.040881563
510,5451000,590.5513691,556.9944133,590.3238724,5.682309377,0.038522759
515,5451000,586.26867,553.1690153,586.0665652,5.645816726,0.034473066
520,5451000,581.9410739,549.2632355,581.7663478,5.61531739,0.030024703
525,5451000,577.5667386,545.2749152,577.4130204,5.591011617,0.026614803
530,5451000,573.1437587,541.201828,572.9997159,5.573109746,0.025132046
535,5451000,568.6701625,537.0416796,568.5206184,5.56183267,0.026297161
540,5451000,564.1439101,532.7921069,563.9742654,5.557412332,0.030071173
545,5451000,559.5628915,528.4506786,559.3601673,5.560092235,0.036229018
550,5451000,554.9249242,524.0148958,554.6831962,5.570127959,0.043560487
555,5451000,550.2277525,519.4821939,549.9474002,5.587787691,0.050952046
560,5451000,545.4690463,514.8499446,545.1569674,5.613352745,0.057212949
565,5451000,540.6464009,510.1154603,540.3149669,5.647118065,0.061303291
570,5451000,535.7573376,505.2759988,535.4203583,5.689392686,0.062897756
575,5451000,530.7993051,500.3287703,530.4721709,5.740500126,0.06163048
580,5451000,525.769682,495.2709465,525.4632959,5.800778664,0.058273829
585,5451000,520.6657809,490.0996721,520.3851902,5.870581459,0.053890747
590,5451000,515.4848534,484.8120797,515.2290557,5.950276415,0.049622734
595,5451000,510.2240975,479.4053084,509.987431,6.040245706,0.046384827
600,5451000,504.8806667,473.8765265,504.6518491,6.140884816,0.045321124
605,5451000,499.4516806,468.2229603,499.2190645,6.252600908,0.046574291
610,5451000,493.9342391,462.4419291,493.6834918,6.375810282,0.050765322
615,5451000,488.3254378,456.5308878,488.0492763,6.510934623,0.056552768
620,5451000,482.6223869,450.4874791,482.3188535,6.658395617,0.062892543
625,5451000,476.822232,444.3095957,476.4946745,6.818607454,0.068695931
630,5451000,470.9221773,437.995456,470.5790326,6.991966591,0.072866527
635,5451000,464.919512,431.5436934,464.5766257,7.178838009,0.073751762
640,5451000,458.8116381,424.953463,458.4823532,7.379537116,0.071769076
645,5451000,452.5960999,418.224566,452.2952541,7.594306258,0.066471141
650,5451000,446.2706163,411.3575951,446.0074218,7.823284786,0.058976426
655,5451000,439.8331147,404.3541014,439.6120915,8.066471596,0.050251597
660,5451000,433.281768,397.2167837,433.0951577,8.323679178,0.043069037
665,5451000,426.6150366,389.9496988,426.4550788,8.594478555,0.037494654
670,5451000,419.8317176,382.5584907,419.6821755,8.878135077,0.035619545
675,5451000,412.9310064,375.050632,412.7779529,9.173535972,0.037065155
680,5451000,405.9125763,367.4356685,405.7428087,9.479112011,0.041823688
685,5451000,398.7766852,359.7254516,398.5849215,9.79275748,0.048087999
690,5451000,391.5243197,351.9343395,391.3106044,10.11175507,0.054585434
695,5451000,384.157387,344.0793417,383.9364561,10.432715,0.057510511
700,5451000,376.678968,336.1801762,376.4679852,10.7515405,0.056011315
705,5451000,369.093639,328.2592078,368.9148868,11.06343401,0.048430042
710,5451000,361.407866,320.3412371,361.2832105,11.36295937,0.034491637
715,5451000,353.6304654,312.4531179,353.575153,11.64417424,0.015641315
720,5451000,345.7731062,304.623195,345.7957211,11.90084204,0.006540375
725,5451000,337.8508119,296.8805751,337.9415132,12.12672438,0.026846535
730,5451000,329.8823929,289.2542678,330.025442,12.31594229,0.043363649
735,5451000,321.8907186,281.7722576,322.0567247,12.46337925,0.051572184
740,5451000,313.9027254,274.4605839,314.0587616,12.56508413,0.049708451
745,5451000,305.9490646,267.3425123,306.065925,12.61862079,0.038196028
750,5451000,298.0633257,260.4378699,298.1285944,12.62330938,0.021897596
755,5451000,290.2808395,253.7625984,290.2979735,12.58031398,0.005902588
760,5451000,282.6371442,247.3285475,282.635159,12.49255359,0.000702351
765,5451000,275.1662826,241.1435013,275.1898329,12.36444413,0.008558588
770,5451000,267.8991466,235.2114058,268.0032806,12.20150986,0.038870603
775,5451000,260.8620873,229.5327467,261.0944678,12.00992483,0.089081757
780,5451000,254.0759577,224.1050247,254.464381,11.79605238,0.15287683
785,5451000,247.5556654,218.923274,248.0752384,11.56604167,0.209881294
790,5451000,241.3102195,213.9805823,241.8659433,11.32552002,0.230294342
795,5451000,235.3431822,209.2685786,235.7560312,11.0793962,0.175424262
800,5451000,229.6533935,204.7778699,229.6403381,10.83176834,0.005684845
