Tr,Pr,PR_liq_alpha_1Mpa
2.005174644,0.01984127,0.56547659
2.037516171,0.01984127,0.584188381
2.069857697,0.01984127,0.557974617
2.102199224,0.01984127,0.574360847
2.13454075,0.01984127,0.565006136
2.166882277,0.01984127,0.537609092
2.199223803,0.01984127,0.548163751
2.23156533,0.01984127,0.51452857
2.263906856,0.01984127,0.544516867
2.296248383,0.01984127,0.496360374
2.328589909,0.01984127,0.538270724
2.360931436,0.01984127,0.517348612
2.393272962,0.01984127,0.496443304
2.425614489,0.01984127,0.485783418
2.457956016,0.01984127,0.496691085
2.490297542,0.01984127,0.479962845
2.522639069,0.01984127,0.47751025
2.554980595,0.01984127,0.47103175
2.587322122,0.01984127,0.461782232
0.388098318,0.198412698,0.785657918
0.420439845,0.198412698,0.809187915
0.452781371,0.198412698,0.831173292
0.485122898,0.198412698,0.852093654
0.517464424,0.198412698,0.872038391
0.549805951,0.198412698,0.891094011
0.582147477,0.198412698,0.909484233
0.614489004,0.198412698,0.927029583
0.64683053,0.198412698,0.943863666
0.679172057,0.198412698,0.959915479
0.711513583,0.198412698,0.975299788
0.74385511,0.198412698,0.989909657
0.776196636,0.198412698,1.083612523
0.808538163,0.198412698,1.050218536
0.84087969,0.198412698,1.021842883
0.873221216,0.198412698,0.996347712
0.905562743,0.198412698,0.973040912
0.918499353,0.198412698,0.96439584
0.931435964,0.198412698,0.95587124
0.937904269,0.198412698,0.951708013
0.944372574,0.198412698,0.947420445
0.957309185,0.198412698,0.939506698
0.970245796,0.198412698,0.931434112
0.983182406,0.198412698,0.923898878
0.996119017,0.198412698,0.916361723
1.002587322,0.198412698,0.912921031
1.009055627,0.198412698,0.909187056
1.021992238,0.198412698,0.902034744
1.034928849,0.198412698,0.895241719
1.047865459,0.198412698,0.888360856
1.06080207,0.198412698,0.882116421
1.067270375,0.198412698,0.878802462
1.07373868,0.198412698,0.875545215
1.086675291,0.198412698,0.869355229
1.099611902,0.198412698,0.862891716
1.131953428,0.198412698,0.848057859
1.164294955,0.198412698,0.833566449
1.196636481,0.198412698,0.820200524
1.228978008,0.198412698,0.806913423
1.261319534,0.198412698,0.794000098
1.293661061,0.198412698,0.78222066
1.326002587,0.198412698,0.770227517
1.358344114,0.198412698,0.75881233
1.39068564,0.198412698,0.74755805
1.423027167,0.198412698,0.736739274
1.455368693,0.198412698,0.72639452
1.48771022,0.198412698,0.716265023
1.520051746,0.198412698,0.707212801
1.552393273,0.198412698,0.696913893
1.584734799,0.198412698,0.687221744
1.617076326,0.198412698,0.678512135
1.649417853,0.198412698,0.669108074
1.681759379,0.198412698,0.660781958
1.714100906,0.198412698,0.651240705
1.746442432,0.198412698,0.642050487
1.778783959,0.198412698,0.63502992
1.811125485,0.198412698,0.627082417
1.843467012,0.198412698,0.616940402
1.875808538,0.198412698,0.608723772
1.908150065,0.198412698,0.601287539
