exp_Tr,P(MPa),exp_alpha_7MPa,P(MPa),exp_alpha_7.5MPa,P(MPa),exp_alpha_6.5MPa,,,exp_Tr,exp_alpha_7MPa,exp_alpha_7.5MPa,exp_alpha_6.5MPa
2.104570865,7,0.479975816,7.5,0.480666216,6.5,0.479126812,,,2.104570865,0.479975816,0.480666216,0.479126812
2.137454785,7,0.470839601,7.5,0.471662206,6.5,0.470188588,,,2.137454785,0.470839601,0.471662206,0.470188588
2.170338704,7,0.462044966,7.5,0.462775276,6.5,0.461438091,,,2.170338704,0.462044966,0.462775276,0.461438091
2.203222624,7,0.453424016,7.5,0.454053337,6.5,0.452600961,,,2.203222624,0.453424016,0.454053337,0.452600961
2.236106544,7,0.444734672,7.5,0.445322362,6.5,0.444086761,,,2.236106544,0.444734672,0.445322362,0.444086761
2.268990464,7,0.436123033,7.5,0.436751952,6.5,0.435539592,,,2.268990464,0.436123033,0.436751952,0.435539592
2.301874383,7,0.427734645,7.5,0.428299635,6.5,0.427351368,,,2.301874383,0.427734645,0.428299635,0.427351368
2.334758303,7,0.41945467,7.5,0.420110221,6.5,0.419066364,,,2.334758303,0.41945467,0.420110221,0.419066364
2.367642223,7,0.411385935,7.5,0.411854617,6.5,0.411044253,,,2.367642223,0.411385935,0.411854617,0.411044253
2.400526143,7,0.403340775,7.5,0.403608764,6.5,0.40271017,,,2.400526143,0.403340775,0.403608764,0.40271017
2.433410062,7,0.39536487,7.5,0.395697761,6.5,0.395054398,,,2.433410062,0.39536487,0.395697761,0.395054398
2.466293982,7,0.387488582,7.5,0.387673792,6.5,0.387096823,,,2.466293982,0.387488582,0.387673792,0.387096823
2.499177902,7,0.37940442,7.5,0.379827526,6.5,0.379132659,,,2.499177902,0.37940442,0.379827526,0.379132659
2.532061822,7,0.37173146,7.5,0.372187829,6.5,0.371489601,,,2.532061822,0.37173146,0.372187829,0.371489601
2.564945742,7,0.364132188,7.5,0.364461882,6.5,0.363728088,,,2.564945742,0.364132188,0.364461882,0.363728088
2.597829661,7,0.356550559,7.5,0.356604702,6.5,0.356145705,,,2.597829661,0.356550559,0.356604702,0.356145705
2.630713581,7,0.348902276,7.5,0.349207097,6.5,0.348636987,,,2.630713581,0.348902276,0.349207097,0.348636987
0.924038145,7,1.066963437,7.5,1.065262768,6.5,1.068632923,,,0.924038145,1.066963437,1.065262768,1.068632923
0.927326537,7,1.065947504,7.5,1.064280354,6.5,1.067577495,,,0.927326537,1.065947504,1.064280354,1.067577495
0.930614929,7,1.064886887,7.5,1.063256391,6.5,1.066483787,,,0.930614929,1.064886887,1.063256391,1.066483787
0.933903321,7,1.063789719,7.5,1.062197792,6.5,1.065333125,,,0.933903321,1.063789719,1.062197792,1.065333125
0.937191713,7,1.062650216,7.5,1.061097006,6.5,1.064136681,,,0.937191713,1.062650216,1.061097006,1.064136681
0.940480105,7,1.061450416,7.5,1.059954934,6.5,1.062873081,,,0.940480105,1.061450416,1.059954934,1.062873081
0.943768497,7,1.060201835,7.5,1.058766292,6.5,1.061550248,,,0.943768497,1.060201835,1.058766292,1.061550248
0.947056889,7,1.058890319,7.5,1.0575205,6.5,1.060146347,,,0.947056889,1.058890319,1.0575205,1.060146347
0.950345281,7,1.057504831,7.5,1.056215731,6.5,1.058656487,,,0.950345281,1.057504831,1.056215731,1.058656487
0.956922065,7,1.054484385,7.5,1.05340507,6.5,1.055368369,,,0.956922065,1.054484385,1.05340507,1.055368369
0.960210457,7,1.052827504,7.5,1.051881092,6.5,1.053536175,,,0.960210457,1.052827504,1.051881092,1.053536175
0.963498849,7,1.051050346,7.5,1.050263765,6.5,1.051535148,,,0.963498849,1.051050346,1.050263765,1.051535148
0.966787241,7,1.049133676,7.5,1.048536643,6.5,1.049345547,,,0.966787241,1.049133676,1.048536643,1.049345547
0.970075633,7,1.047048699,7.5,1.046689662,6.5,1.046907283,,,0.970075633,1.047048699,1.046689662,1.046907283
0.973364025,7,1.044767816,7.5,1.04469893,6.5,1.044150046,,,0.973364025,1.044767816,1.04469893,1.044150046
0.976652417,7,1.042239167,7.5,1.042541773,6.5,1.040943887,,,0.976652417,1.042239167,1.042541773,1.040943887
0.979940809,7,1.039383093,7.5,1.0401815,6.5,1.037022284,,,0.979940809,1.039383093,1.0401815,1.037022284
0.983229201,7,1.036080105,7.5,1.037581212,6.5,1.010397884,,,0.983229201,1.036080105,1.037581212,1.010397884
0.989805985,7,1.026831787,7.5,1.031303159,6.5,1.001709054,,,0.989805985,1.026831787,1.031303159,1.001709054
0.993094377,7,1.005098375,7.5,1.027309786,6.5,0.997713689,,,0.993094377,1.005098375,1.027309786,0.997713689
0.996382769,7,1.000708639,7.5,1.022260517,6.5,0.993861022,,,0.996382769,1.000708639,1.022260517,0.993861022
0.999671161,7,0.996626987,7.5,1.015010284,6.5,0.990120254,,,0.999671161,0.996626987,1.015010284,0.990120254
1.002959553,7,0.992725858,7.5,0.99841586,6.5,0.986496243,,,1.002959553,0.992725858,0.99841586,0.986496243
1.006247945,7,0.98896379,7.5,0.99495308,6.5,0.982963589,,,1.006247945,0.98896379,0.99495308,0.982963589
