 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
660	864.8225949	865.46	863.2239102	863.88	856.3553966	857.05	853.0731046	853.76	851.4714739	852.14	848.3489882	848.96
670	875.9265935	876.56	874.3916693	875.04	867.8037423	868.45	864.6590365	865.27	863.1252843	863.71	860.1364172	860.65
680	887.0807807	887.71	885.607086	886.24	879.2880891	879.88	876.274997	876.81	874.8061277	875.31	871.9449072	872.37
690	898.2843015	898.91	896.8694342	897.49	890.8083593	891.35	887.9212682	888.39	886.5144724	886.94	883.775306	884.11
700	909.5363129	910.16	908.1779915	908.78	902.3644317	902.85	899.5980599	900	898.2506984	898.6	895.6283407	895.87
710	920.8359822	921.45	919.5320386	920.12	913.9561458	914.39	911.3055164	911.64	910.0151066	910.29	907.5046296	907.66
720	932.1824868	932.79	930.930859	931.5	925.583305	925.97	923.0437226	923.31	921.8079259	922.02	919.4046935	919.48
730	943.575013	944.17	942.3737389	942.92	937.24568	937.58	934.8127094	935.02	933.6293201	933.77	931.3289642	931.32
740	955.012755	955.59	953.8599663	954.39	948.9430109	949.23	946.6124582	946.76	945.4793932	945.55	943.2777934	943.19
750	966.4949141	967.06	965.3888309	965.9	960.6750098	960.91	958.4429049	958.53	957.3581948	957.36	955.2514592	955.09
760	978.0206978	978.57	976.9596234	977.45	972.4413626	972.63	970.3039434	970.33	969.2657242	969.2	967.2501726	967.01
770	989.5893188	990.12	988.5716348	989.04	984.2417305	984.38	982.1954289	982.16	981.2019344	981.08	979.2740829	978.96
780	1001.199994	1001.7	1000.224156	1000.7	996.0757517	996.17	994.11718	994.03	993.1667353	992.98	991.3232821	990.94
790	1012.851944	1013.4	1011.916478	1012.3	1007.943042	1008	1006.068982	1005.9	1005.159996	1004.9	1003.39781	1002.9
800	1024.544392	1025	1023.647888	1024	1019.843197	1019.8	1018.050586	1017.8	1017.18155	1016.9	1015.497655	1015
