Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha,,,,,
0.790153472,1,1.511128216,1.510852474,2.477129609,1.527464511,1.49479192,-0.966001393,1.277154055,,,,,
0.797751102,1,1.488538571,1.488211013,2.439992358,1.504874866,1.472202276,-0.951453787,1.265893222,,,,,
0.805348731,1,1.46682638,1.466552604,2.402855107,1.483162675,1.450490085,-0.936028727,1.254735394,,,,,
0.812946361,1,1.445919176,1.44579807,2.365717856,1.462255471,1.429582881,-0.919798681,1.243679119,,,,,
0.82054399,1,1.425767479,1.425874908,2.328580605,1.442103774,1.409431184,-0.902813127,1.232722975,,,,,
0.82814162,1,1.406340597,1.406716425,2.291443355,1.422676892,1.390004302,-0.885102758,1.221865574,,,,,
0.835739249,1,1.387621482,1.388260986,2.254306104,1.403957777,1.371285187,-0.866684621,1.211105562,,,,,
0.843336879,1,1.369601035,1.370451327,2.217168853,1.38593733,1.35326474,-0.847567818,1.200441613,,,,,
0.850934508,1,1.352272026,1.35323393,2.180031602,1.368608321,1.335935731,-0.827759576,1.189872431,,,,,
0.858532138,1,1.335622704,1.336558447,2.142894351,1.351958999,1.319286409,-0.807271647,1.179396751,,,,,
0.866129768,1,1.319630176,1.320377142,2.1057571,1.335966471,1.303293881,-0.786126924,1.169013333,,,,,
0.873727397,1,1.304253836,1.304644344,2.068619849,1.320590131,1.287917541,-0.764366013,1.158720968,,,,,
0.881325027,1,1.289429402,1.289315885,2.031482599,1.305765697,1.273093107,-0.742053197,1.148518468,,,,,
0.888922656,1,1.27506444,1.274348492,1.994345348,1.291400735,1.258728145,-0.719280907,1.138404676,,,,,
0.896520286,1,1.261036451,1.259699099,1.957208097,1.277372746,1.244700156,-0.696171646,1.128378455,,,,,
0.904117915,1,1.247194589,1.245324024,1.920070846,1.263530885,1.230858294,-0.672876257,1.118438696,,,,,
0.911715545,1,1.233365845,1.231177913,1.882933595,1.24970214,1.21702955,-0.64956775,1.10858431,,,,,
0.919313174,1,1.219365969,1.217212337,1.845796344,1.235702265,1.203029674,-0.626430375,1.098814232,,,,,
0.926910804,1,1.205014694,1.203373799,1.808659093,1.221350989,1.188678399,-0.6036444,1.089127421,,,,,
0.934508433,1,1.190153958,1.189600774,1.771521842,1.206490253,1.173817663,-0.581367884,1.079522853,,,,,
0.942106063,1,1.174667124,1.175819084,1.734384592,1.191003419,1.158330829,-0.559717467,1.069999527,,,,,
0.949703692,1,1.158496608,1.161934247,1.697247341,1.174832903,1.142160313,-0.538750733,1.060556464,,,,,
0.957301322,1,1.141657236,1.147818014,1.66011009,1.157993531,1.125320941,-0.518452854,1.051192702,,,,,
0.964898952,1,1.124242895,1.133282714,1.622972839,1.140579191,1.1079066,-0.498729944,1.041907299,,,,,
0.972496581,1,1.106424803,1.118026914,1.585835588,1.122761099,1.090088508,-0.479410785,1.03269933,,,,,
0.980094211,1,1.088440766,1.101501235,1.548698337,1.104777061,1.072104471,-0.460257571,1.02356789,,,,,
0.98769184,1,1.070576097,1.082482963,1.511561086,1.086912392,1.054239802,-0.440984989,1.014512092,,,,,
0.99528947,1,1.053138087,1.056800824,1.474423836,1.069474382,1.036801792,-0.421285749,1.005531064,,,,,
1.002887099,1,1.036426965,1.000583577,1.437286585,1.052763261,1.02009067,-0.400859619,0.996623951,,,,,
1.010484729,1,1.020706905,0.996104301,1.400149334,1.0370432,1.00437061,-0.379442429,0.987789915,,,,,
1.018082358,1,1.006180715,0.990048124,1.363012083,1.02251701,0.98984442,-0.356831368,0.979028133,,,,,
1.025679988,1,0.992971442,0.983446614,1.325874832,1.009307737,0.976635147,-0.33290339,0.970337798,,,,,
1.033277617,1,0.981113141,0.976578329,1.288737581,0.997449436,0.964776846,-0.30762444,0.961718119,,,,,
1.040875247,1,0.970551824,0.969567361,1.25160033,0.986888119,0.954215529,-0.281048507,0.953168316,,,,,
1.048472876,1,0.961156185,0.962481391,1.21446308,0.97749248,0.94481989,-0.253306895,0.944687626,,,,,
1.056070506,1,0.952736383,0.955361772,1.177325829,0.969072678,0.936400088,-0.224589446,0.936275299,,,,,
1.063668136,1,0.945068136,0.948235658,1.140188578,0.961404431,0.928731841,-0.195120442,0.927930599,,,,,
1.071265765,1,0.937918786,0.941121779,1.103051327,0.954255081,0.921582491,-0.165132541,0.919652802,,,,,
1.078863395,1,0.931071942,0.934033497,1.065914076,0.947408237,0.914735647,-0.134842134,0.911441199,,,,,
1.086461024,1,0.924347691,0.926980576,1.028776825,0.940683986,0.908011396,-0.104429134,0.903295091,,,,,
1.094058654,1,0.917616243,0.919970266,0.991639574,0.933952538,0.901279948,-0.074023332,0.895213791,,,,,
1.101656283,1,0.910803898,0.913008002,0.954502324,0.927140193,0.894467603,-0.043698425,0.887196628,,,,,
1.109253913,1,0.903891396,0.90609787,0.917365073,0.920227691,0.887555101,-0.013473677,0.879242937,,,,,
1.116851542,1,0.896905686,0.899242937,0.880227822,0.913241981,0.880569391,0.016677864,0.871352067,,,,,
1.124449172,1,0.889906917,0.892445483,0.843090571,0.906243212,0.873570622,0.046816346,0.86352338,,,,,
1.132046801,1,0.88297281,0.885707172,0.80595332,0.899309105,0.866636514,0.07701949,0.855756246,,,,,
1.139644431,1,0.876182583,0.879029176,0.768816069,0.892518878,0.859846288,0.107366513,0.848050046,,,,,
1.14724206,1,0.86960225,0.872412279,0.731678818,0.885938545,0.853265955,0.137923431,0.840404171,,,,,
1.15483969,1,0.863272554,0.865856948,0.694541567,0.879608849,0.846936259,0.168730987,0.832818024,,,,,
1.16243732,1,0.85720012,0.859363394,0.657404317,0.873536415,0.840863825,0.199795803,0.825291017,,,,,
1.170034949,1,0.851351761,0.852931616,0.620267066,0.867688056,0.835015466,0.231084695,0.817822569,,,,,
1.177632579,1,0.845651408,0.846561444,0.583129815,0.861987703,0.829315113,0.262521593,0.810412112,,,,,
1.185230208,1,0.839978849,0.840252567,0.545992564,0.856315144,0.823642554,0.293986285,0.803059086,,,,,
1.192827838,1,0.834169453,0.834004556,0.508855313,0.850505749,0.817833158,0.32531414,0.795762938,,,,,
1.200425467,1,0.828014291,0.827816891,0.471718062,0.844350586,0.811677996,0.356296229,0.788523128,,,,,
1.208023097,1,0.8212604,0.821688971,0.434580811,0.837596695,0.804924105,0.386679589,0.781339119,,,,,
0.607810363,2,2.997233234,3.000338345,3.372883499,3.013569529,2.980896938,-0.375650265,1.582826945,,,,,
0.615407993,2,2.850144937,2.84801788,3.335746248,2.866481232,2.833808642,-0.485601311,1.568544449,,,,,
0.623005622,2,2.716841391,2.714153289,3.298608997,2.733177687,2.700505096,-0.581767606,1.554413982,,,,,
0.630603252,2,2.596926108,2.595570393,3.261471746,2.613262403,2.580589813,-0.664545638,1.540432772,,,,,
0.638200881,2,2.489540405,2.489782027,3.224334495,2.5058767,2.47320411,-0.73479409,1.526598129,,,,,
0.645798511,2,2.393505408,2.394811672,3.187197244,2.409841703,2.377169112,-0.793691837,1.512907443,,,,,
0.65339614,2,2.307466214,2.309068775,3.150059994,2.323802509,2.291129918,-0.84259378,1.499358182,,,,,
0.66099377,2,2.230024538,2.231258887,3.112922743,2.246360833,2.213688243,-0.882898205,1.485947886,,,,,
0.668591399,2,2.15984885,2.160317793,3.075785492,2.176185145,2.143512555,-0.915936642,1.472674165,,,,,
0.676189029,2,2.09575474,2.095362468,3.038648241,2.112091035,2.079418445,-0.942893501,1.459534698,,,,,
