Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha,,,,,
1.100858022,0.5,1.027790189,0.869802108,-0.157988082,0.880432406,0.859171809,0.858934364,0.898054024,0.869802108,0.898054024,0.869802108,0.898054024,0.869802108
1.108952566,0.5,1.016376882,0.860896883,-0.155479999,0.871527181,0.850266584,0.850133158,0.890309802,0.860896883,0.890309802,0.860896883,0.890309802,0.860896883
1.11704711,0.5,1.004963575,0.852016531,-0.152947043,0.86264683,0.841386233,0.84151731,0.882627145,0.852016531,0.882627145,0.852016531,0.882627145,0.852016531
1.125141655,0.5,0.993550267,0.843171563,-0.150378705,0.853801861,0.832541264,0.833080431,0.875005384,0.843171563,0.875005384,0.843171563,0.875005384,0.843171563
1.133236199,0.5,0.98213696,0.834387963,-0.147748997,0.845018261,0.823757664,0.824816432,0.867443864,0.834387963,0.867443864,0.834387963,0.867443864,0.834387963
1.141330743,0.5,0.970723652,0.825701448,-0.145022205,0.836331746,0.815071149,0.816719503,0.85994194,0.825701448,0.85994194,0.825701448,0.85994194,0.825701448
1.149425287,0.5,0.959310345,0.817151445,-0.1421589,0.827781743,0.806521146,0.808784098,0.85249898,0.817151445,0.85249898,0.817151445,0.85249898,0.817151445
1.157519832,0.5,0.947897037,0.808775449,-0.139121589,0.819405747,0.79814515,0.801004913,0.845114361,0.808775449,0.845114361,0.808775449,0.845114361,0.808775449
1.165614376,0.5,0.93648373,0.800604299,-0.135879431,0.811234597,0.789974,0.793376877,0.837787474,0.800604299,0.837787474,0.800604299,0.837787474,0.800604299
1.17370892,0.5,0.925070423,0.79265878,-0.132411643,0.803289078,0.782028481,0.785895134,0.830517716,0.79265878,0.830517716,0.79265878,0.830517716,0.79265878
1.181803464,0.5,0.913657115,0.784947779,-0.128709336,0.795578077,0.77431748,0.778555034,0.8233045,0.784947779,0.8233045,0.784947779,0.8233045,0.784947779
