 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
480	674.5179925	675.07	670.3567344	671.96	651.2899236	657.98	641.4490828	650.96	636.4693363	647.44	626.4292984	640.44
490	684.5532063	685.13	680.5332758	682.14	662.1904163	668.79	652.7729843	662.11	648.0199938	658.78	638.460679	652.14
500	694.6571011	695.25	690.772157	692.38	673.112892	679.62	664.0897155	673.26	659.5464056	670.09	650.4287557	663.79
510	704.8284591	705.44	701.0725755	702.68	684.0600741	690.47	675.4052123	684.4	671.0565725	681.38	662.3466277	675.39
520	715.0660891	715.69	711.4337198	713.05	695.0342528	701.35	686.7244948	695.55	682.5572409	692.67	674.2252426	686.97
530	725.368826	726.01	721.8547722	723.47	706.037353	712.25	698.0518257	706.71	694.0541302	703.96	686.0738179	698.52
540	735.73553	736.39	732.3349118	733.94	717.0709898	723.18	709.3908358	717.88	705.55211	715.25	697.9001638	710.06
550	746.1650857	746.83	742.8733163	744.48	728.1365142	734.15	720.7446252	729.07	717.0553425	726.56	709.7109352	721.59
560	756.6564016	757.33	753.4691642	755.07	739.235051	745.14	732.1158456	740.27	728.5673954	737.87	721.5118295	733.12
570	767.2084091	767.89	764.121636	765.71	750.3675302	756.17	743.5067667	751.5	740.0913344	749.19	733.3077444	744.64
580	777.8200621	778.51	774.8299157	776.41	761.5347137	767.24	754.9193323	762.75	751.6297978	760.54	745.1029052	756.18
590	788.4903357	789.19	785.5931916	787.17	772.7372176	778.34	766.3552053	774.03	763.1850587	771.9	756.900967	767.72
600	799.2182257	799.93	796.4106569	797.97	783.9755308	789.47	777.8158065	785.33	774.7590762	783.29	768.7050994	779.27
610	810.0027476	810.72	807.2815108	808.83	795.2500317	800.64	789.3023465	796.66	786.3535381	794.7	780.5180561	790.84
620	820.8429361	821.56	818.2049583	819.74	806.5610014	811.85	800.8158529	808.02	797.9698963	806.13	792.3422317	802.43
630	831.7378436	832.46	829.1802107	830.7	817.9086355	823.1	812.357193	819.41	809.6093978	817.59	804.1797105	814.03
640	842.6865398	843.41	840.2064859	841.71	829.2930544	834.38	823.9270935	830.83	821.2731098	829.08	816.0323067	825.65
650	853.6881109	854.41	851.2830082	852.77	840.7143118	845.7	835.5261573	842.28	832.9619413	840.6	827.9015983	837.3
660	864.7416584	865.46	862.4090082	863.88	852.1724019	857.05	847.1548776	853.76	844.6766622	852.14	839.7889563	848.96
670	875.8462983	876.56	873.5837228	875.04	863.6672666	868.45	858.8136501	865.27	856.417919	863.71	851.6955689	860.65
680	887.0011602	887.71	884.806395	886.24	875.1988	879.88	870.5027841	876.81	868.1862484	875.31	863.622463	872.37
690	898.2053866	898.91	896.0762734	897.49	886.7668543	891.35	882.2225111	888.39	879.9820893	886.94	875.5705222	884.11
700	909.4581317	910.16	907.3926118	908.78	898.371243	902.85	893.9729931	900	891.805793	898.6	887.5405023	895.87
710	920.7585606	921.45	918.7546691	920.12	910.011745	914.39	905.754329	911.64	903.6576319	910.29	899.5330446	907.66
720	932.1058484	932.79	930.1617084	931.5	921.6881076	925.97	917.5665614	923.31	915.5378073	922.02	911.5486878	919.48
730	943.4991794	944.17	941.6129971	942.92	933.4000493	937.58	929.4096808	935.02	927.4464563	933.77	923.587878	931.32
740	954.9377458	955.59	953.1078056	954.39	945.1472615	949.23	941.2836309	946.76	939.3836572	945.55	935.6509776	943.19
750	966.4207473	967.06	964.6454072	965.9	956.9294113	960.91	953.188312	958.53	951.3494346	957.36	947.7382728	955.09
760	977.9473895	978.57	976.2250774	977.45	968.7461425	972.63	965.1235845	970.33	963.3437642	969.2	959.8499804	967.01
770	989.5168839	990.12	987.8460931	989.04	980.5970773	984.38	977.0892721	982.16	975.3665763	981.08	971.9862535	978.96
780	1001.128446	1001.7	999.5077322	1000.7	992.4818173	996.17	989.0851641	994.03	987.4177591	992.98	984.1471868	990.94
790	1012.781294	1013.4	1011.209273	1012.3	1004.399945	1008	1001.111017	1005.9	999.4971618	1004.9	996.3328209	1002.9
800	1024.474651	1025	1022.949992	1024	1016.351023	1019.8	1013.166559	1017.8	1011.604597	1016.9	1008.543146	1015
