Tr,Pr,PR_liq_alpha_01Mpa
1.618908855,2.358490566,0.5146258
0.566618099,4.716981132,2.536971442
0.582807188,4.716981132,2.328768721
0.598996277,4.716981132,2.162606767
0.615185365,4.716981132,2.026849653
0.631374454,4.716981132,1.913769489
0.647563542,4.716981132,1.818033156
0.663752631,4.716981132,1.736005694
0.679941719,4.716981132,1.665001082
0.696130808,4.716981132,1.60259664
0.712319896,4.716981132,1.547582499
0.728508985,4.716981132,1.498536895
0.744698073,4.716981132,1.454457812
0.760887162,4.716981132,1.41463857
0.777076251,4.716981132,1.378499218
0.793265339,4.716981132,1.345402342
0.809454428,4.716981132,1.314905354
0.825643516,4.716981132,1.286776821
0.841832605,4.716981132,1.260618793
0.858021693,4.716981132,1.236161436
0.874210782,4.716981132,1.213287589
0.89039987,4.716981132,1.191727257
0.906588959,4.716981132,1.171352092
0.922778048,4.716981132,1.151997769
0.938967136,4.716981132,1.13360986
0.955156225,4.716981132,1.116045531
0.958394042,4.716981132,1.112589487
0.96163186,4.716981132,1.109230686
0.964869678,4.716981132,1.105840516
0.968107496,4.716981132,1.102503203
0.971345313,4.716981132,1.099217395
0.974583131,4.716981132,1.09589999
0.977820949,4.716981132,1.092673452
0.981058766,4.716981132,1.089414888
0.984296584,4.716981132,1.086244613
0.987534402,4.716981132,1.083041867
0.99077222,4.716981132,1.079885744
0.994010037,4.716981132,1.076775011
0.997247855,4.716981132,1.073669943
1.000485673,4.716981132,1.070570293
1.00372349,4.716981132,1.0675137
1.006961308,4.716981132,1.064461388
1.010199126,4.716981132,1.061450394
1.013436944,4.716981132,1.058479572
1.016674761,4.716981132,1.05551105
1.019912579,4.716981132,1.052544543
1.036101667,4.716981132,1.038118289
1.052290756,4.716981132,1.024210197
1.068479845,4.716981132,1.010755122
1.084668933,4.716981132,0.997717313
1.100858022,4.716981132,0.985054852
1.11704711,4.716981132,0.972782489
1.133236199,4.716981132,0.960753646
1.149425287,4.716981132,0.948974188
1.165614376,4.716981132,0.937383743
1.181803464,4.716981132,0.925858822
1.197992553,4.716981132,0.914363874
1.214181642,4.716981132,0.902799838
1.23037073,4.716981132,0.891095333
1.246559819,4.716981132,0.879209245
1.262748907,4.716981132,0.867103379
1.278937996,4.716981132,0.854678193
1.295127084,4.716981132,0.84194011
1.311316173,4.716981132,0.82891454
1.327505261,4.716981132,0.815577147
1.34369435,4.716981132,0.80196434
1.359883439,4.716981132,0.788189376
1.376072527,4.716981132,0.774193507
1.392261616,4.716981132,0.760165922
1.408450704,4.716981132,0.746061256
1.424639793,4.716981132,0.731945417
1.440828881,4.716981132,0.717912453
1.45701797,4.716981132,0.704026035
1.473207058,4.716981132,0.690238925
1.489396147,4.716981132,0.67662338
1.505585236,4.716981132,0.663192101
1.521774324,4.716981132,0.649951682
1.537963413,4.716981132,0.636979078
1.554152501,4.716981132,0.624188665
1.57034159,4.716981132,0.611639198
1.586530678,4.716981132,0.599296734
1.602719767,4.716981132,0.587204834
1.618908855,4.716981132,0.575300849
0.566618099,3.773584906,2.485216416
0.582807188,3.773584906,2.288862722
0.598996277,3.773584906,2.131484212
0.615185365,3.773584906,2.002482132
0.631374454,3.773584906,1.894562479
0.647563542,3.773584906,1.803223846
0.663752631,3.773584906,1.724863517
0.679941719,3.773584906,1.656702842
0.696130808,3.773584906,1.596928522
0.712319896,3.773584906,1.544021921
0.728508985,3.773584906,1.49690547
0.744698073,3.773584906,1.454530047
0.760887162,3.773584906,1.416156651
0.777076251,3.773584906,1.381267014
0.793265339,3.773584906,1.349282797
0.809454428,3.773584906,1.319803934
0.825643516,3.773584906,1.292560605
0.841832605,3.773584906,1.267143246
0.858021693,3.773584906,1.243383254
0.874210782,3.773584906,1.221027474
0.89039987,3.773584906,1.199911831
0.906588959,3.773584906,1.179893352
0.922778048,3.773584906,1.160803122
0.938967136,3.773584906,1.142576405
0.955156225,3.773584906,1.125072272
0.958394042,3.773584906,1.121646006
0.96163186,3.773584906,1.11824629
0.964869678,3.773584906,1.114872682
0.968107496,3.773584906,1.111524737
0.971345313,3.773584906,1.108202003
0.974583131,3.773584906,1.104904023
0.977820949,3.773584906,1.101630333
0.981058766,3.773584906,1.098380465
0.984296584,3.773584906,1.095153944
0.987534402,3.773584906,1.091950287
0.99077222,3.773584906,1.088769006
0.994010037,3.773584906,1.085609603
0.997247855,3.773584906,1.082471575
1.000485673,3.773584906,1.07935441
1.00372349,3.773584906,1.076257585
1.006961308,3.773584906,1.073180573
1.010199126,3.773584906,1.070122832
1.013436944,3.773584906,1.067083815
1.016674761,3.773584906,1.064062961
1.019912579,3.773584906,1.061059699
1.036101667,3.773584906,1.046346726
1.052290756,3.773584906,1.032091747
1.068479845,3.773584906,1.018223706
1.084668933,3.773584906,1.004767473
1.100858022,3.773584906,0.991643048
1.11704711,3.773584906,0.978754911
1.133236199,3.773584906,0.966015825
1.149425287,3.773584906,0.953343504
1.165614376,3.773584906,0.940608488
1.181803464,3.773584906,0.927632942
1.197992553,3.773584906,0.914343004
1.214181642,3.773584906,0.900593541
1.23037073,3.773584906,0.886362571
1.246559819,3.773584906,0.871584738
1.262748907,3.773584906,0.856346652
1.278937996,3.773584906,0.840686061
1.295127084,3.773584906,0.824765904
1.311316173,3.773584906,0.808689983
1.327505261,3.773584906,0.792588269
1.34369435,3.773584906,0.776602927
1.359883439,3.773584906,0.760813382
1.376072527,3.773584906,0.745232286
1.392261616,3.773584906,0.729929242
1.408450704,3.773584906,0.714979284
1.424639793,3.773584906,0.700318318
1.440828881,3.773584906,0.686044276
1.45701797,3.773584906,0.672093951
1.473207058,3.773584906,0.658430229
1.489396147,3.773584906,0.645147837
1.505585236,3.773584906,0.632145168
1.521774324,3.773584906,0.619461326
1.537963413,3.773584906,0.607010264
1.554152501,3.773584906,0.594883152
1.57034159,3.773584906,0.583049875
1.586530678,3.773584906,0.571449596
1.602719767,3.773584906,0.560119308
1.618908855,3.773584906,0.549085482
0.566618099,3.301886792,2.460816144
0.582807188,3.301886792,2.269976574
0.598996277,3.301886792,2.11659157
0.615185365,3.301886792,1.990809263
0.631374454,3.301886792,1.885568933
0.647563542,3.301886792,1.796336237
0.663752631,3.301886792,1.719522034
0.679941719,3.301886792,1.652914149
0.696130808,3.301886792,1.594323204
0.712319896,3.301886792,1.542546762
0.728508985,3.301886792,1.496319606
0.744698073,3.301886792,1.45474851
0.760887162,3.301886792,1.417119331
0.777076251,3.301886792,1.382778543
0.793265339,3.301886792,1.35134226
0.809454428,3.301886792,1.322354701
0.825643516,3.301886792,1.295505064
0.841832605,3.301886792,1.270476123
0.858021693,3.301886792,1.246953448
0.874210782,3.301886792,1.224827784
0.89039987,3.301886792,1.203906585
0.906588959,3.301886792,1.183984474
0.922778048,3.301886792,1.164931229
0.938967136,3.301886792,1.146672517
0.955156225,3.301886792,1.12906722
0.958394042,3.301886792,1.125614412
0.96163186,3.301886792,1.122198131
0.964869678,3.301886792,1.118817761
0.968107496,3.301886792,1.115438513
0.971345313,3.301886792,1.112060947
0.974583131,3.301886792,1.108718982
0.977820949,3.301886792,1.105411958
0.981058766,3.301886792,1.102139219
0.984296584,3.301886792,1.098867819
0.987534402,3.301886792,1.095598171
0.99077222,3.301886792,1.092362219
0.994010037,3.301886792,1.089159257
0.997247855,3.301886792,1.085957685
1.000485673,3.301886792,1.082788343
1.00372349,3.301886792,1.079620264
1.006961308,3.301886792,1.076483577
1.010199126,3.301886792,1.073347916
1.013436944,3.301886792,1.070242724
1.016674761,3.301886792,1.067167204
1.019912579,3.301886792,1.064091854
1.036101667,3.301886792,1.048991043
1.052290756,3.301886792,1.034327317
1.068479845,3.301886792,1.02002915
1.084668933,3.301886792,1.006025725
1.100858022,3.301886792,0.992309397
1.11704711,3.301886792,0.978690714
1.133236199,3.301886792,0.965080842
1.149425287,3.301886792,0.95124878
1.165614376,3.301886792,0.937042753
1.181803464,3.301886792,0.922295155
1.197992553,3.301886792,0.906855201
1.214181642,3.301886792,0.890722012
1.23037073,3.301886792,0.873973183
1.246559819,3.301886792,0.856766026
1.262748907,3.301886792,0.839314319
1.278937996,3.301886792,0.821875449
1.295127084,3.301886792,0.804600427
1.311316173,3.301886792,0.787617741
1.327505261,3.301886792,0.770996645
1.34369435,3.301886792,0.754766922
1.359883439,3.301886792,0.738984063
1.376072527,3.301886792,0.723662052
1.392261616,3.301886792,0.708747201
1.408450704,3.301886792,0.694245727
1.424639793,3.301886792,0.680097791
1.440828881,3.301886792,0.666426526
1.45701797,3.301886792,0.653049343
1.473207058,3.301886792,0.639979684
1.489396147,3.301886792,0.627299545
1.505585236,3.301886792,0.614955415
1.521774324,3.301886792,0.602839882
1.537963413,3.301886792,0.591046746
1.554152501,3.301886792,0.57952561
1.57034159,3.301886792,0.568332837
1.586530678,3.301886792,0.557358681
1.602719767,3.301886792,0.546609164
1.618908855,3.301886792,0.536073005
