TITLE = "Decane T rho" 

  VARIABLES = T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_2Mpa	rho_Soave_2Mpa	rho_new_2Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa
760	2.2686	2.270277202	2.268581641	24.311	24.49761481	24.31545472	52.728	53.43324127	52.67826283	86.084	87.09059907	86.13508441	169.95	162.3694653	169.8939262	332.88	298.349026	332.9046077
770	2.2382	2.239790236	2.238234895	23.884	24.05591949	23.8868615	51.468	52.12256915	51.43608843	83.341	84.30406635	83.33464376	161.39	155.5405766	161.2863999	323.16	289.2651488	323.149416
780	2.2087	2.210137242	2.208714046	23.475	23.63394625	23.47650111	50.296	50.90052282	50.28704525	80.859	81.77178847	80.81715101	154.02	149.4502657	153.9230722	313.61	280.6085192	313.564094
790	2.18	2.181283359	2.179983821	23.084	23.23019817	23.08372203	49.2	49.75684734	49.21089063	78.598	79.45512115	78.54555832	147.59	143.9820861	147.5307862	304.24	272.3799912	304.1846935
800	2.152	2.153195701	2.152012096	22.71	22.84333916	22.70790341	48.172	48.68294161	48.19307387	76.523	77.32339034	76.48204561	141.91	139.0414425	141.9014653	295.09	264.5738862	295.0443653
810	2.1248	2.125843215	2.124769098	22.35	22.47217182	22.34820239	47.204	47.67152225	47.22519658	74.609	75.35186634	74.59028084	136.86	134.5513213	136.8811317	286.2	257.1793393	286.1721322
820	2.0982	2.099196551	2.09822669	22.005	22.11561897	22.00348161	46.29	46.71636873	46.30380982	72.834	73.52033886	72.83838908	132.32	130.4487214	132.358011	277.59	250.1816045	277.5923316
830	2.0724	2.073227944	2.072357933	21.673	21.77270818	21.67239551	45.425	45.81212719	45.42823847	71.182	71.81209203	71.20120508	128.22	126.6817854	128.2512084	269.29	243.5632344	269.3245624
840	2.0471	2.047911107	2.047136961	21.353	21.44255863	21.35356848	44.604	44.95415753	44.5983243	69.637	70.21315243	69.66104471	124.48	123.2075377	124.5009231	261.34	237.3050876	261.3841178
850	2.0225	2.02322113	2.022539076	21.045	21.12437009	21.04578295	43.823	44.13841273	43.81281315	68.188	68.71172768	68.20689685	121.05	119.9901116	121.0608681	253.73	231.3871482	253.7828424
860	1.9986	1.999134389	1.99854089	20.747	20.81741342	20.74810822	43.078	43.36134258	43.06872746	66.824	67.29778075	66.8324868	117.9	116.9993649	117.8931408	246.5	225.789166	246.5301414
870	1.9751	1.975628464	1.975120364	20.459	20.52102241	20.45993372	42.367	42.61981616	42.36166295	65.536	65.96270256	65.53394487	114.98	114.2097939	114.9653032	239.63	220.4911346	239.6336331
880	1.9523	1.952682059	1.952256657	20.181	20.23458686	20.18090811	41.688	41.91105882	41.68666459	64.318	64.6990569	64.30778286	112.26	111.5996787	112.2490581	233.12	215.4736332	233.0988969
890	1.9299	1.930274931	1.929929821	19.911	19.95754646	19.91081672	41.036	41.23260059	41.03922662	63.163	63.5003796	63.14962314	109.73	109.1504072	109.7197647	226.97	210.7180579	226.9280446
900	1.9081	1.908387829	1.908120463	19.65	19.68938558	19.64944504	40.411	40.58223347	40.41601498	62.064	62.36101844	62.05379171	107.37	106.845937	107.3561386	221.17	206.2067664	221.1173569
910	1.8868	1.887002424	1.886809513	19.397	19.42962866	19.39647315	39.811	39.95797606	39.81508664	61.018	61.27600463	61.01361748	105.14	104.6723638	105.1397656	215.69	201.9231564	215.6547914
920	1.866	1.866101262	1.865978238	19.152	19.17783622	19.15143083	39.234	39.35804381	39.23560524	60.02	60.24094841	60.02213777	103.05	102.6175735	103.0543966	210.52	197.8516961	210.5185216
930	1.8456	1.845667706	1.845608553	18.914	18.93360129	18.91372109	38.677	38.78082409	38.67724325	59.065	59.25195383	59.0728992	101.07	100.6709599	101.0852676	205.64	193.9779193	205.6776811
940	1.8257	1.825685889	1.825683573	18.682	18.69654637	18.68270023	38.141	38.22485498	38.13955363	58.151	58.30554842	58.16062451	99.205	98.8231942	99.21880603	201.03	190.2883975	201.0960719
950	1.8062	1.806140671	1.806188277	18.457	18.46632063	18.45778866	37.623	37.68880729	37.6215697	57.274	57.39862491	57.28163783	97.432	97.06603552	97.44300979	196.68	186.7706952	196.7388419
960	1.7871	1.787017592	1.787110088	18.238	18.24259752	18.23858145	37.123	37.17146914	37.12178024	56.433	56.52839255	56.43405146	95.747	95.39217398	95.74855822	192.56	183.4133172	192.5811842
970	1.7684	1.76830284	1.768439197	18.025	18.02507255	18.02493064	36.639	36.67173267	36.63847769	55.624	55.69233619	55.61778179	94.142	93.79510072	94.1304207	188.66	180.2056492	188.6172313
980	1.7502	1.74998321	1.750168496	17.818	17.81346144	17.81698058	36.171	36.18858266	36.17034562	54.845	54.88818175	54.83446917	92.611	92.26899895	92.58948372	184.96	177.1378974	184.8668975
990	1.7323	1.732046071	1.732293076	17.616	17.60749832	17.61514959	35.717	35.72108656	35.71707295	54.094	54.11386684	54.08734191	91.149	90.80865256	91.13362595	181.45	174.2010284	181.3787608
1000	1.7148	1.714479337	1.714809361	17.419	17.40693423	17.42006295	35.278	35.26838586	35.27977808	53.369	53.36751571	53.38101769	89.749	89.40936893	89.77778915	178.11	171.3867099	178.2282067
