TITLE = "decane alpha prediction MODEL 3"
VARIABLES =  "Tr"	"Pr"	"bias corrected model"	"traning data"	"bias uncorrected model"	"upper"	"lower"	"bias"

ZONE I=100 J=9
1.597650456	0.9434	0.516194115	0.516142162	0.043152681	0.528187341	0.504200889	0.473041434
1.608279656	0.9434	0.511151581	0.511184708	0.015903314	0.523144807	0.499158355	0.495248266
1.618908855	0.9434	0.505569166	0.506293947	-0.011346052	0.517562392	0.493575941	0.516915218
0.566618099	1.4151	2.569938076	2.575739535	2.71281295	2.581931301	2.55794485	-0.142874875
0.577247299	1.4151	2.434146424	2.431959827	2.685563584	2.44613965	2.422153198	-0.25141716
0.587876499	1.4151	2.312532643	2.309041841	2.658314217	2.324525868	2.300539417	-0.345781575
0.598505698	1.4151	2.204821998	2.202765469	2.631064851	2.216815223	2.192828772	-0.426242853
0.609134898	1.4151	2.110121764	2.109973151	2.603815484	2.12211499	2.098128538	-0.49369372
0.619764097	1.4151	2.027108228	2.028255062	2.576566118	2.039101453	2.015115002	-0.54945789
0.630393297	1.4151	1.954221005	1.95573994	2.549316751	1.966214231	1.94222778	-0.595095746
0.641022496	1.4151	1.889842863	1.890952388	2.522067385	1.901836089	1.877849638	-0.632224521
0.651651696	1.4151	1.832447526	1.832713237	2.494818018	1.844440752	1.8204543	-0.662370493
0.662280895	1.4151	1.780704225	1.780068538	2.467568652	1.79269745	1.768710999	-0.686864427
0.672910095	1.4151	1.733534871	1.732238017	2.440319285	1.745528096	1.721541645	-0.706784415
0.683539295	1.4151	1.690126585	1.688577035	2.413069919	1.702119811	1.67813336	-0.722943334
0.694168494	1.4151	1.649907919	1.648548111	2.385820552	1.661901145	1.637914694	-0.735912633
0.704797694	1.4151	1.612500675	1.611699282	2.358571186	1.624493901	1.600507449	-0.746070511
0.715426893	1.4151	1.577660497	1.577647489	2.331321819	1.589653723	1.565667272	-0.753661322
0.726056093	1.4151	1.545218414	1.546065643	2.304072453	1.55721164	1.533225188	-0.758854039
0.736685292	1.4151	1.515032711	1.51667247	2.276823086	1.527025937	1.503039486	-0.761790375
0.747314492	1.4151	1.486956695	1.489224445	2.24957372	1.49894992	1.474963469	-0.762617025
0.757943691	1.4151	1.460823756	1.463509326	2.222324353	1.472816982	1.448830531	-0.761500597
0.768572891	1.4151	1.436447584	1.439340928	2.195074987	1.448440809	1.424454358	-0.758627403
0.779202091	1.4151	1.413632807	1.416554849	2.167825621	1.425626033	1.401639582	-0.754192813
0.78983129	1.4151	1.39219026	1.395004953	2.140576254	1.404183486	1.380197034	-0.748385994
0.80046049	1.4151	1.37195123	1.374560438	2.113326888	1.383944455	1.359958004	-0.741375658
0.811089689	1.4151	1.35277645	1.355103376	2.086077521	1.364769675	1.340783224	-0.733301071
0.821718889	1.4151	1.334557577	1.336526608	2.058828155	1.346550802	1.322564351	-0.724270578
0.832348088	1.4151	1.317211077	1.31873194	2.031578788	1.329204303	1.305217852	-0.714367711
0.842977288	1.4151	1.300666325	1.301628548	2.004329422	1.31265955	1.288673099	-0.703663097
0.853606487	1.4151	1.284850921	1.285131561	1.977080055	1.296844146	1.272857695	-0.692229135
0.864235687	1.4151	1.269676704	1.269160757	1.949830689	1.28166993	1.257683478	-0.680153985
0.874864887	1.4151	1.255029538	1.253639341	1.922581322	1.267022764	1.243036313	-0.667551784
0.885494086	1.4151	1.240765046	1.238492755	1.895331956	1.252758272	1.22877182	-0.654566909
0.896123286	1.4151	1.226711165	1.223647481	1.868082589	1.238704391	1.21471794	-0.641371424
0.906752485	1.4151	1.212677111	1.209029785	1.840833223	1.224670336	1.200683885	-0.628156112
0.917381685	1.4151	1.198467211	1.19456435	1.813583856	1.210460436	1.186473985	-0.615116646
0.928010884	1.4151	1.183897388	1.180172694	1.78633449	1.195890613	1.171904162	-0.602437102
0.938640084	1.4151	1.168811783	1.165771281	1.759085123	1.180805009	1.156818557	-0.59027334
0.949269283	1.4151	1.15309719	1.151269072	1.731835757	1.165090416	1.141103964	-0.578738567
0.959898483	1.4151	1.136693452	1.13656416	1.70458639	1.148686678	1.124700226	-0.567892938
0.970527683	1.4151	1.119598665	1.121538672	1.677337024	1.131591891	1.107605439	-0.557738359
0.981156882	1.4151	1.101868773	1.106050263	1.650087657	1.113861999	1.089875547	-0.548218884
0.991786082	1.4151	1.083611838	1.089916409	1.622838291	1.095605064	1.071618612	-0.539226453
1.002415281	1.4151	1.064977851	1.072882687	1.595588924	1.076971077	1.052984625	-0.530611073
1.013044481	1.4151	1.04614534	1.054554356	1.568339558	1.058138566	1.034152115	-0.522194218
1.02367368	1.4151	1.027306277	1.034247215	1.541090191	1.039299503	1.015313051	-0.513783914
1.03430288	1.4151	1.008650837	1.010756068	1.513840825	1.020644063	0.996657611	-0.505189988
1.044932079	1.4151	0.990353495	0.98359404	1.486591458	1.002346721	0.97836027	-0.496237963
1.055561279	1.4151	0.972561698	0.960366761	1.459342092	0.984554924	0.960568472	-0.486780394
1.066190479	1.4151	0.955388037	0.944006048	1.432092725	0.967381263	0.943394811	-0.476704688
1.076819678	1.4151	0.938906425	0.93002202	1.404843359	0.950899651	0.926913199	-0.465936934
1.087448878	1.4151	0.923152309	0.916819962	1.377593992	0.935145534	0.911159083	-0.454441684
1.098078077	1.4151	0.908126491	0.903995656	1.350344626	0.920119717	0.896133265	-0.442218135
1.108707277	1.4151	0.893801739	0.89144027	1.323095259	0.905794965	0.881808513	-0.42929352
1.119336476	1.4151	0.880131056	0.879125539	1.295845893	0.892124282	0.86813783	-0.415714837
1.129965676	1.4151	0.867056373	0.867046209	1.268596526	0.879049599	0.855063147	-0.401540154
1.140594875	1.4151	0.854516488	0.855202831	1.24134716	0.866509714	0.842523262	-0.386830672
1.151224075	1.4151	0.842453308	0.843596411	1.214097794	0.854446534	0.830460083	-0.371644485
1.161853275	1.4151	0.830815827	0.832226875	1.186848427	0.842809052	0.818822601	-0.3560326
1.172482474	1.4151	0.81956171	0.821092801	1.159599061	0.831554936	0.807568484	-0.340037351
1.183111674	1.4151	0.808656803	0.810191553	1.132349694	0.820650029	0.796663577	-0.323692891
1.193740873	1.4151	0.798073176	0.799519524	1.105100328	0.810066402	0.78607995	-0.307027151
1.204370073	1.4151	0.78778653	0.789072376	1.077850961	0.799779755	0.775793304	-0.290064431
1.214999272	1.4151	0.777773751	0.778845238	1.050601595	0.789766977	0.765780526	-0.272827843
1.225628472	1.4151	0.768011267	0.768832877	1.023352228	0.780004493	0.756018041	-0.255340961
1.236257671	1.4151	0.758474516	0.759029827	0.996102862	0.770467742	0.74648129	-0.237628346
1.246886871	1.4151	0.749138568	0.749430489	0.968853495	0.761131794	0.737145343	-0.219714927
1.257516071	1.4151	0.73997958	0.740029207	0.941604129	0.751972806	0.727986354	-0.201624549
1.26814527	1.4151	0.730976607	0.730820326	0.914354762	0.742969833	0.718983381	-0.183378155
1.27877447	1.4151	0.722113233	0.72179824	0.887105396	0.734106458	0.710120007	-0.164992163
1.289403669	1.4151	0.713378555	0.712957419	0.859856029	0.725371781	0.701385329	-0.146477474
1.300032869	1.4151	0.704767282	0.704292435	0.832606663	0.716760507	0.692774056	-0.127839381
1.310662068	1.4151	0.696278946	0.695797982	0.805357296	0.708272172	0.68428572	-0.10907835
1.321291268	1.4151	0.687916477	0.687468885	0.77810793	0.699909703	0.675923252	-0.090191452
1.331920467	1.4151	0.679684523	0.679300108	0.750858563	0.691677749	0.667691297	-0.07117404
1.342549667	1.4151	0.671587959	0.671286762	0.723609197	0.683581185	0.659594733	-0.052021238
1.353178867	1.4151	0.663630919	0.663424106	0.69635983	0.675624145	0.651637693	-0.032728911
1.363808066	1.4151	0.655816498	0.655707547	0.669110464	0.667809724	0.643823272	-0.013293966
1.374437266	1.4151	0.648147037	0.64813264	0.641861097	0.660140263	0.636153811	0.00628594
1.385066465	1.4151	0.640624718	0.640695088	0.614611731	0.652617944	0.628631492	0.026012987
1.395695665	1.4151	0.633252048	0.633390738	0.587362364	0.645245274	0.621258822	0.045889684
1.406324864	1.4151	0.626031866	0.626215579	0.560112998	0.638025092	0.61403864	0.065918868
1.416954064	1.4151	0.618966623	0.619165738	0.532863631	0.630959849	0.606973397	0.086102992
1.427583263	1.4151	0.612056961	0.612237476	0.505614265	0.624050187	0.600063735	0.106442696
1.438212463	1.4151	0.605299887	0.605427184	0.478364898	0.617293113	0.593306661	0.126934988
1.448841663	1.4151	0.598687092	0.598731381	0.451115532	0.610680318	0.586693866	0.14757156
1.459470862	1.4151	0.592204077	0.592146707	0.423866165	0.604197303	0.580210851	0.168337912
1.470100062	1.4151	0.585830678	0.585669922	0.396616799	0.597823904	0.573837453	0.189213879
1.480729261	1.4151	0.579543352	0.579297898	0.369367432	0.591536578	0.567550126	0.210175919
1.491358461	1.4151	0.573319125	0.573027619	0.342118066	0.58531235	0.561325899	0.231201059
1.50198766	1.4151	0.567140646	0.566856173	0.3148687	0.579133872	0.55514742	0.252271946
1.51261686	1.4151	0.561001264	0.560780751	0.287619333	0.57299449	0.549008039	0.273381931
1.523246059	1.4151	0.554908726	0.554798644	0.260369967	0.566901951	0.5429155	0.294538759
1.533875259	1.4151	0.548885967	0.548907236	0.2331206	0.560879193	0.536892741	0.315765367
1.544504459	1.4151	0.54296769	0.543104001	0.205871234	0.554960916	0.530974465	0.337096457
1.555133658	1.4151	0.537191892	0.537386503	0.178621867	0.549185117	0.525198666	0.358570024
1.565762858	1.4151	0.531586293	0.531752388	0.151372501	0.543579519	0.519593068	0.380213793
1.576392057	1.4151	0.526150529	0.526199385	0.124123134	0.538143755	0.514157303	0.402027395
