Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha
1.427619411,0.5,0.567056631,0.60573414,0.038677509,0.646653554,0.564814726,0.605513967,0.628530343
1.431133702,0.5,0.56210148,0.603683546,0.041582066,0.644652532,0.562714561,0.603559836,0.626054435
1.434647993,0.5,0.55714633,0.601645459,0.044499129,0.642661025,0.560629892,0.601616625,0.623586442
1.438162284,0.5,0.55219118,0.599620281,0.047429101,0.640679274,0.558561288,0.599684218,0.621126335
1.441676575,0.5,0.547236029,0.597608347,0.050372317,0.638707446,0.556509247,0.597762499,0.618674086
1.445190866,0.5,0.542280879,0.595609911,0.053329032,0.636745634,0.554474188,0.595851355,0.616229665
1.448705157,0.5,0.537325728,0.59362514,0.056299411,0.634793837,0.552456442,0.593950674,0.613793044
1.452219448,0.5,0.532370578,0.591654105,0.059283527,0.632851965,0.550456245,0.592060344,0.611364195
1.455733739,0.5,0.527415428,0.589696779,0.062281352,0.630919828,0.548473731,0.590180258,0.608943089
1.45924803,0.5,0.522460277,0.587753039,0.065292762,0.628997141,0.546508937,0.588310306,0.606529699
1.462762321,0.5,0.517505127,0.585822664,0.068317537,0.627083528,0.5445618,0.586450384,0.604123996
1.466276613,0.5,0.512549976,0.583905344,0.071355368,0.625178524,0.542632164,0.584600386,0.601725954
1.469790904,0.5,0.507594826,0.582000689,0.074405863,0.623281589,0.540719788,0.582760209,0.599335543
1.473305195,0.5,0.502639676,0.580108236,0.077468561,0.621392117,0.538824356,0.580929751,0.596952738
1.476819486,0.5,0.497684525,0.578227469,0.080542944,0.61950945,0.536945488,0.579108911,0.594577511
1.480333777,0.5,0.492729375,0.576357826,0.083628451,0.617632894,0.535082758,0.57729759,0.592209834
1.483848068,0.5,0.487774224,0.574498721,0.086724496,0.615761737,0.533235704,0.57549569,0.589849681
1.487362359,0.5,0.482819074,0.572649558,0.089830484,0.613895263,0.531403853,0.573703115,0.587497026
